Distance,Base 2,Base 3,Base 4,Base 4.75,Average,Ïƒ,UpperBound
2,0.920971731205671,0.822032467971604,0.76696498884737,0.744210168985691,0.813544839252584,0.0787179689794798,0.878346576776301
3,0.94,0.864543285643892,0.835721422346931,0.83984856721828,0.869156758353496,0.0466731233185005,0.930414227230965
4,0.967773636539916,0.945741609003176,0.924314696257049,0.926009139108543,0.940959770227171,0.0203505058662235,0.991681374724338
5,1.04768439899471,1.02385782056002,1.01558911290876,1.01558911290876,1.02568011134306,0.0151785585345096,1.06663850152455
6,1.12694333043055,1.10530287413136,1.09720487187111,1.08559260405438,1.10376092012185,0.0174439220291948,1.13641676044632
7,1.20140570706738,1.18333430780486,1.17200923182665,1.14589019046208,1.17565985929024,0.0232472657946654,1.20783125048712
8,1.26541753506535,1.24969501034695,1.24218899512953,1.21425679390686,1.24288958361217,0.0214021019236414,1.27379960997499
9,1.31938491713259,1.30957468340873,1.28218168488462,1.28218168488462,1.29833074257764,0.0190725684369667,1.32447944568442
10,1.38726381676261,1.36270076750933,1.34016902675288,1.32957397423625,1.35492689631527,0.0256038725542629,1.38726381676261
11,1.4287202148494,1.40041470692857,1.38726381676261,1.38726381676261,1.4009156388258,0.0195455866451382,1.4287202148494
12,1.47721999118612,1.46013943291595,1.44400281875443,1.4287202148494,1.45252061442648,0.0208735675806317,1.47721999118612
13,1.51464759555007,1.50,1.47721999118612,1.47721999118612,1.49110908978588,0.0178685044786016,1.51464759555007
14,1.5573555311371,1.53525978386564,1.51464759555007,1.51464759555007,1.53047762652572,0.0203835762850247,1.54630765750137
15,1.58113883008419,1.5573555311371,1.5573555311371,1.53525978386564,1.55777741905601,0.0187363763717036,NULL